Student ID,First Name,Last Name,Email,Gender,Major,University
1708951,Tamqrah,Couture,tamqrah.couture@gmail.com,Female,Information sciences,Brandeis University
80094836,Hettie,Kolnick,hettie.kolnick@gmail.com,Male,Biology,SUNY College of Environmental Science and Forestry
20203587,Carly,Noam,carly.noam@gmail.com,Female,Humanities,University of Arkansas
6400048,Anallese,Cookie,anallese.cookie@gmail.com,Female,International business,Kansas State University
89332485,Lila,Anton,lila.anton@gmail.com,Female,Human services and community organization,The Catholic University of America
91324423,Suzette,Nicoline,suzette.nicoline@gmail.com,Male,Family and consumer sciences,Syracuse University
11679798,Mallory,Isacco,mallory.isacco@gmail.com,Female,Agriculture production and management,University of Iowa
28933012,Elyssa,Lenny,elyssa.lenny@gmail.com,Female,Fine arts,Northern Illinois University
82907326,Gale,Nikaniki,gale.nikaniki@gmail.com,Female,Theology and religious vocations,Widener University
64549944,Tori,Chesna,tori.chesna@gmail.com,Male,Medical assisting services,Baylor University
35869443,Carree,Riva,carree.riva@gmail.com,Female,Composition and rhetoric,Temple University
7639998,Emelina,Annice,emelina.annice@gmail.com,Male,Oceanography,Suffolk University
19967145,Beth,Lea,beth.lea@gmail.com,Female,Industrial and manufacturing engineering,University of Washington
5591900,Nita,Riva,nita.riva@gmail.com,Male,Treatment therapy professions,University of Idaho
41329028,Zondra,Artie,zondra.artie@gmail.com,Male,United states history,St. John's University
97348090,Darlleen,Hubert,darlleen.hubert@gmail.com,Male,Communication technologies,"University of Massachusetts, Lowell"
86603778,Olivette,Shama,olivette.shama@gmail.com,Female,Educational administration and supervision,Florida Institute of Technology
71948172,Tarra,Heidt,tarra.heidt@gmail.com,Male,Mathematics,Suffolk University
49766587,Roberta,Johanna,roberta.johanna@gmail.com,Male,Health and medical preparatory programs,Columbia University
85659556,Ronna,Simmonds,ronna.simmonds@gmail.com,Female,Management information systems and statistics,Duke University
15752561,Carmela,Kristi,carmela.kristi@gmail.com,Female,Nutrition sciences,University of the Pacific
87455623,Willetta,Judye,willetta.judye@gmail.com,Male,International relations,University of Tulsa
66619833,Brietta,Fontana,brietta.fontana@gmail.com,Female,Neuroscience,"California State University, Fullerton"
51347562,Jessamyn,Greenwald,jessamyn.greenwald@gmail.com,Male,Human services and community organization,University of Pittsburgh
7885591,Lyssa,Secrest,lyssa.secrest@gmail.com,Female,Criminal justice and fire protection,University of Denver
45646850,Elvira,Stevy,elvira.stevy@gmail.com,Male,Physical sciences,University of Washington
59113322,Olwen,Hartnett,olwen.hartnett@gmail.com,Male,Art and music education,"University of Illinois, Chicago"
5568793,Lusa,Belanger,lusa.belanger@gmail.com,Female,Social psychology,Yeshiva University
27745314,Myrtice,Pascia,myrtice.pascia@gmail.com,Female,Actuarial science,"University of Wisconsin, Madison"
28779249,Basia,Chinua,basia.chinua@gmail.com,Female,Cosmetology services and culinary arts,Illinois Institute of Technology
98222029,Anthia,Malvino,anthia.malvino@gmail.com,Male,Psychology,Harvard University
73805052,Elora,Rosemary,elora.rosemary@gmail.com,Female,Animal sciences,University of Oklahoma
71338878,Arabel,Moina,arabel.moina@gmail.com,Male,Chemistry,Kent State University
53696514,Sophia,Scammon,sophia.scammon@gmail.com,Male,Biomedical engineering,University of New Hampshire
57816320,Nataline,Nikaniki,nataline.nikaniki@gmail.com,Female,General social sciences,Duquesne University
47342088,Linzy,Tippets,linzy.tippets@gmail.com,Female,School student counseling,Tulane University
20337652,Tressa,Rosalba,tressa.rosalba@gmail.com,Male,Biochemical sciences,University of Rhode Island
91848941,Jacquetta,Sothena,jacquetta.sothena@gmail.com,Male,Marketing and marketing research,Adelphi University
66989715,Mamie,Blase,mamie.blase@gmail.com,Female,Civil engineering,Pace University
36788310,Angela,Means,angela.means@gmail.com,Male,United states history,The Catholic University of America
53265741,Dagmar,Tjon,dagmar.tjon@gmail.com,Female,Environmental science,University of Iowa
87081627,Lelah,Hollingsworth,lelah.hollingsworth@gmail.com,Male,Teacher education: multiple levels,"University of California, Santa Cruz"
71592940,Silvana,Camden,silvana.camden@gmail.com,Female,Criminal justice and fire protection,University of Rochester
30163726,Ardys,Codding,ardys.codding@gmail.com,Female,Astronomy and astrophysics,San Diego State University
99204499,Margalo,Manolo,margalo.manolo@gmail.com,Male,Miscellaneous biology,Lesley University
70611879,Carol-Jean,Tryck,carol-jean.tryck@gmail.com,Female,International business,Brown University
75098242,Hallie,Kosey,hallie.kosey@gmail.com,Male,Architecture,University of Tulsa
40600832,Harmonia,Lilybelle,harmonia.lilybelle@gmail.com,Female,Materials science,Cornell University
42520875,Marline,Cherianne,marline.cherianne@gmail.com,Female,Information sciences,West Virginia University
86429093,Ada,Morehouse,ada.morehouse@gmail.com,Female,Educational administration and supervision,University of Houston
62948263,Fawne,Nunci,fawne.nunci@gmail.com,Female,Cosmetology services and culinary arts,University of Florida
20033050,Sue,Verger,sue.verger@gmail.com,Female,Physics,"University of California, Riverside"
1736755,Rhea,Muriel,rhea.muriel@gmail.com,Female,Community and public health,"Purdue University, West Lafayette"
20285777,Caryl,Lay,caryl.lay@gmail.com,Female,General social sciences,University of Mississippi
51240750,Nita,Alarise,nita.alarise@gmail.com,Male,Educational psychology,University of Hartford
13441806,Fayre,Diann,fayre.diann@gmail.com,Male,Area ethnic and civilization studies,Texas Tech University
38643545,Tamqrah,Telfer,tamqrah.telfer@gmail.com,Female,Geography,University of Delaware
19751263,Gratia,Telfer,gratia.telfer@gmail.com,Male,General business,Yale University
85725394,Bettine,Marden,bettine.marden@gmail.com,Male,Mass media,Illinois State University
48562013,Belva,Letsou,belva.letsou@gmail.com,Male,United states history,"California State University, Fresno"
56106931,Karena,Maisey,karena.maisey@gmail.com,Male,Statistics and decision science,Stanford University
24638356,Dulcinea,Denis,dulcinea.denis@gmail.com,Male,Economics,"University of Illinois, Urbana-Champaign"
48232038,Kimmy,Sabella,kimmy.sabella@gmail.com,Female,Family and consumer sciences,Adelphi University
90535785,Dawn,Joeann,dawn.joeann@gmail.com,Male,Computer science,Northern Illinois University
69240414,Valera,Roscoe,valera.roscoe@gmail.com,Male,Educational psychology,Massachusetts Institute of Technology
31874214,Winny,Whiffen,winny.whiffen@gmail.com,Female,Operations logistics and e-commerce,Western Michigan University
32142836,Penelopa,Daveta,penelopa.daveta@gmail.com,Female,Art and music education,Drexel University
49024158,Loree,Paine,loree.paine@gmail.com,Female,Applied mathematics,Ashland University
95606262,Teriann,Ajay,teriann.ajay@gmail.com,Female,Multi-disciplinary or general science,"University of Massachusetts, Dartmouth"
44508454,Brandise,Decato,brandise.decato@gmail.com,Female,Criminal justice and fire protection,University of South Dakota
40959677,Charlena,Tybald,charlena.tybald@gmail.com,Female,Mathematics teacher education,University of Tennessee
62523900,Janenna,Slifka,janenna.slifka@gmail.com,Female,Early childhood education,"University at Buffalo, SUNY"
5262774,Shannah,Odell,shannah.odell@gmail.com,Male,Civil engineering,University of Idaho
76881567,Tersina,Alice,tersina.alice@gmail.com,Female,Communication technologies,Seton Hall University
49431959,Thalia,Oneida,thalia.oneida@gmail.com,Female,General agriculture,"University of Hawaii, Manoa"
17183152,Gabriellia,Gaynor,gabriellia.gaynor@gmail.com,Male,Library science,St. John Fisher College
14563431,Maud,Munn,maud.munn@gmail.com,Male,Science and computer teacher education,Rochester Institute of Technology
75853901,Kary,Byrne,kary.byrne@gmail.com,Female,Chemistry,Andrews University
81404640,Dulce,Joseph,dulce.joseph@gmail.com,Male,Information sciences,Kent State University
69525538,Dorice,Schwejda,dorice.schwejda@gmail.com,Male,Other foreign languages,Lesley University
61747282,Shauna,Bord,shauna.bord@gmail.com,Female,Actuarial science,"University of California, San Diego"
44900888,Cissiee,Peonir,cissiee.peonir@gmail.com,Male,Community and public health,"University of California, Irvine"
38929806,Winny,Dorcy,winny.dorcy@gmail.com,Female,Political science and government,"University of Wisconsin, Madison"
77817206,Neila,Lareena,neila.lareena@gmail.com,Female,Multi-disciplinary or general science,"University of California, Riverside"
4397051,Asia,Bettine,asia.bettine@gmail.com,Female,Electrical engineering,Widener University
38940627,Tina,Selway,tina.selway@gmail.com,Female,Nutrition sciences,University of Southern Mississippi
27138465,Deedee,Middleton,deedee.middleton@gmail.com,Female,General agriculture,University of South Florida
59493133,Karly,Ferino,karly.ferino@gmail.com,Male,Mathematics,University of Washington
18242967,Violet,Camden,violet.camden@gmail.com,Female,Miscellaneous biology,Kansas State University
26336594,Joy,Candy,joy.candy@gmail.com,Male,Neuroscience,Georgetown University
23954982,Marylou,Cullin,marylou.cullin@gmail.com,Female,Advertising and public relations,"University of North Carolina, Greensboro"
31733929,Trudie,Sisile,trudie.sisile@gmail.com,Female,Human services and community organization,The Catholic University of America
30647811,Florencia,Cristi,florencia.cristi@gmail.com,Male,Industrial and organizational psychology,DePaul University
5657622,Deedee,Sothena,deedee.sothena@gmail.com,Female,Miscellaneous education,University of Tennessee
76647305,Lila,Bonucci,lila.bonucci@gmail.com,Male,Science and computer teacher education,St. John Fisher College
33545545,Zsa Zsa,Jerald,zsazsa.jerald@gmail.com,Male,Biomedical engineering,Harvard University
40269843,Merle,Bendick,merle.bendick@gmail.com,Female,Architecture,Rice University
86058858,Corry,Campball,corry.campball@gmail.com,Female,Physical fitness parks recreation and leisure,Rensselaer Polytechnic Institute
47983318,Caryl,Xerxes,caryl.xerxes@gmail.com,Female,Hospitality management,Princeton University
29121892,Carmela,Ilka,carmela.ilka@gmail.com,Female,Engineering technologies,Lipscomb University
72582484,Oona,Juan,oona.juan@gmail.com,Female,Hospitality management,University of Connecticut
3944193,Clarice,Nedrud,clarice.nedrud@gmail.com,Female,Business management and administration,Marquette University
68670109,Jennica,Lorenz,jennica.lorenz@gmail.com,Female,Naval architecture and marine engineering,"University of California, Merced"
70643532,Jessy,Hurley,jessy.hurley@gmail.com,Female,Environmental engineering,Brown University
94976998,Lulita,Pattin,lulita.pattin@gmail.com,Female,Early childhood education,Stevens Institute of Technology
29509536,Madelle,Iiette,madelle.iiette@gmail.com,Male,Geology and earth science,University of Tulsa
25557946,Fernande,Bennie,fernande.bennie@gmail.com,Male,Economics,Seattle Pacific University
70213745,Karly,Darbie,karly.darbie@gmail.com,Male,Treatment therapy professions,Florida State University
94906499,Kellen,Sadowski,kellen.sadowski@gmail.com,Female,Genetics,University of Rochester
67718318,Etta,Rolf,etta.rolf@gmail.com,Female,Humanities,"University of Illinois, Urbana-Champaign"
27078172,Lenna,Bouchard,lenna.bouchard@gmail.com,Female,Multi-disciplinary or general science,"Indiana University, Bloomington"
66953881,Deirdre,Frodi,deirdre.frodi@gmail.com,Male,General education,Widener University
24141299,Caryl,Germann,caryl.germann@gmail.com,Male,Geography,"University at Buffalo, SUNY"
48857843,Chandra,Narton,chandra.narton@gmail.com,Female,Computer engineering,University of Southern Mississippi
27352340,Agnese,Peti,agnese.peti@gmail.com,Female,Electrical engineering,Virginia Commonwealth University
24676571,Anestassia,Masao,anestassia.masao@gmail.com,Female,Industrial production technologies,"University of Massachusetts, Dartmouth"
9867270,Antonietta,Sikorski,antonietta.sikorski@gmail.com,Male,Architecture,DePaul University
4255079,Noelle,Lucienne,noelle.lucienne@gmail.com,Female,Physics,University of Georgia
89834498,Hermione,Lytton,hermione.lytton@gmail.com,Male,Linguistics and comparative language and literature,Case Western Reserve University
49807714,Sibella,Agle,sibella.agle@gmail.com,Female,Architectural engineering,"University of Texas, Dallas"
79649594,Jaime,Hourigan,jaime.hourigan@gmail.com,Male,Marketing and marketing research,Wake Forest University
15739676,Hyacinthe,Hunfredo,hyacinthe.hunfredo@gmail.com,Female,Nutrition sciences,Brandeis University
47421406,Gianina,Bebe,gianina.bebe@gmail.com,Male,Intercultural and international studies,Kent State University
35937009,Aurore,Ruvolo,aurore.ruvolo@gmail.com,Female,Liberal arts,"University of Alabama, Huntsville"
67647701,Ashlee,Libna,ashlee.libna@gmail.com,Female,Geosciences,Seton Hall University
25483466,Emylee,Federica,emylee.federica@gmail.com,Male,Special needs education,Shenandoah University
3640279,Selia,Land,selia.land@gmail.com,Male,Miscellaneous biology,Columbia University
31278972,Lyssa,Zitvaa,lyssa.zitvaa@gmail.com,Female,Miscellaneous psychology,"University of Texas, Dallas"
87181521,Coral,Lewes,coral.lewes@gmail.com,Male,Interdisciplinary social sciences,Princeton University
46831339,Danika,Croix,danika.croix@gmail.com,Female,Engineering and industrial management,Andrews University
38956744,Jenilee,Gunn,jenilee.gunn@gmail.com,Male,Other foreign languages,"University of California, Irvine"
94682731,Heida,Rosette,heida.rosette@gmail.com,Male,Ecology,Boston College
60239171,Norine,Freddi,norine.freddi@gmail.com,Male,Human services and community organization,Texas Tech University
40473553,Dione,Paine,dione.paine@gmail.com,Male,Mechanical engineering related technologies,University of Missouri
11779437,Rani,Berriman,rani.berriman@gmail.com,Male,Computer science,Baylor University
79446581,Maridel,Joeann,maridel.joeann@gmail.com,Female,Advertising and public relations,Stevens Institute of Technology
3259636,Janeczka,Gemini,janeczka.gemini@gmail.com,Female,Multi-disciplinary or general science,Wake Forest University
62260070,Robbi,Pascia,robbi.pascia@gmail.com,Female,Criminology,Marquette University
22230403,Merle,Berriman,merle.berriman@gmail.com,Male,Cosmetology services and culinary arts,Villanova University
51167591,Romona,Simmonds,romona.simmonds@gmail.com,Male,Computer engineering,Gardner-Webb University
20626745,Esmeralda,Romelda,esmeralda.romelda@gmail.com,Male,Human resources and personnel management,Temple University
24944202,Maisey,Deny,maisey.deny@gmail.com,Male,Food science,Florida Institute of Technology
41781857,Edee,Cookie,edee.cookie@gmail.com,Female,School student counseling,University of Pittsburgh
98060114,Mady,Alva,mady.alva@gmail.com,Male,Social science or history teacher education,Illinois Institute of Technology
3151603,Shannah,Arley,shannah.arley@gmail.com,Male,Information sciences,Rochester Institute of Technology
82309681,Tabbatha,Breed,tabbatha.breed@gmail.com,Female,Neuroscience,Widener University
58042607,Marcy,Urania,marcy.urania@gmail.com,Male,Physical sciences,University of Kentucky
96615244,Andeee,Tybald,andeee.tybald@gmail.com,Male,Construction services,University of South Dakota
36407640,Laurene,Iiette,laurene.iiette@gmail.com,Female,Public policy,San Diego State University
76556449,Shandie,Maurine,shandie.maurine@gmail.com,Male,Industrial and manufacturing engineering,Florida Institute of Technology
60472611,Corry,Kristi,corry.kristi@gmail.com,Female,Social psychology,"University of Massachusetts, Boston"
13035514,Claresta,Ramona,claresta.ramona@gmail.com,Female,Management information systems and statistics,Wake Forest University
17228990,Joceline,Newell,joceline.newell@gmail.com,Female,Miscellaneous agriculture,Tennessee Technological University
71561916,Julieta,Millda,julieta.millda@gmail.com,Male,International business,Benedictine University
8880418,Laure,Malvino,laure.malvino@gmail.com,Male,Miscellaneous engineering technologies,Colorado State University
34746281,Michaelina,Slifka,michaelina.slifka@gmail.com,Female,Journalism,"Arizona State University, Tempe"
14971196,Eugine,Swanhildas,eugine.swanhildas@gmail.com,Female,Computer programming and data processing,University of Notre Dame
93592533,Dorthy,Creamer,dorthy.creamer@gmail.com,Male,French german latin and other common foreign language studies,Ball State University
84391662,Kylynn,Clarissa,kylynn.clarissa@gmail.com,Male,Architectural engineering,University of South Dakota
23296576,Jinny,Carmena,jinny.carmena@gmail.com,Male,Community and public health,"University of Hawaii, Manoa"
88970904,Iseabal,Neva,iseabal.neva@gmail.com,Male,Environmental science,Syracuse University
97128517,Gui,Emerson,gui.emerson@gmail.com,Male,Theology and religious vocations,"University of Illinois, Chicago"
96026536,Rivalee,Stilwell,rivalee.stilwell@gmail.com,Female,Nutrition sciences,University of Dayton
60814829,Lynde,Mike,lynde.mike@gmail.com,Male,General education,University of Arkansas
30203824,Dawn,Ellerey,dawn.ellerey@gmail.com,Male,Industrial production technologies,Washington State University
61981325,Althea,Boehike,althea.boehike@gmail.com,Female,Computer science,"University of California, Irvine"
73433994,Harmonia,Ade,harmonia.ade@gmail.com,Male,General business,"University of Minnesota, Twin Cities"
63971808,Sarette,Lail,sarette.lail@gmail.com,Male,Computer engineering,Loyola University Chicago
50429444,Tybie,Arquit,tybie.arquit@gmail.com,Male,Geography,"University of Illinois, Urbana-Champaign"
92933816,Bobbi,Dermott,bobbi.dermott@gmail.com,Male,Operations logistics and e-commerce,Nova Southeastern University
11483172,Genovera,Dex,genovera.dex@gmail.com,Female,Actuarial science,"Indiana University, Bloomington"
59613400,Emylee,Granoff,emylee.granoff@gmail.com,Male,Communications,Duke University
63072685,Taffy,Esmaria,taffy.esmaria@gmail.com,Female,Secondary teacher education,"Arizona State University, Tempe"
83473357,Louella,Meter,louella.meter@gmail.com,Female,Astronomy and astrophysics,University of Houston
38632086,Arabel,Joseph,arabel.joseph@gmail.com,Male,School student counseling,"University of Minnesota, Twin Cities"
74364193,Rosabelle,Martsen,rosabelle.martsen@gmail.com,Female,Chemistry,Vanderbilt University
84121551,Ericka,Syd,ericka.syd@gmail.com,Male,Teacher education: multiple levels,Florida State University
84230436,Dorice,Adlare,dorice.adlare@gmail.com,Male,Miscellaneous education,"University of Texas, Dallas"
52637929,Dode,Hieronymus,dode.hieronymus@gmail.com,Male,English language and literature,Wake Forest University
76125298,Dari,Freddi,dari.freddi@gmail.com,Male,Mathematics and computer science,"Indiana University-Purdue University, Indianapolis"
30077516,Hannis,Denis,hannis.denis@gmail.com,Female,Teacher education: multiple levels,"University of North Carolina, Greensboro"
10061453,Sonni,Hourigan,sonni.hourigan@gmail.com,Male,Mining and mineral engineering,Florida State University
83155790,Amelia,Trace,amelia.trace@gmail.com,Female,Naval architecture and marine engineering,Louisiana Tech University
73371955,Edee,Belldas,edee.belldas@gmail.com,Male,Miscellaneous health medical professions,University of Cincinnati
96783389,Dorice,Wind,dorice.wind@gmail.com,Male,English language and literature,"University of California, Merced"
38569783,Hermione,Pelagias,hermione.pelagias@gmail.com,Male,Ecology,"University of Massachusetts, Dartmouth"
21359341,Mahalia,Hachmin,mahalia.hachmin@gmail.com,Male,Medical assisting services,Northwestern University
75523399,Ilse,Loring,ilse.loring@gmail.com,Male,Civil engineering,Union University
41852910,Charmaine,Ranjiv,charmaine.ranjiv@gmail.com,Female,Biological engineering,St. John Fisher College
97014433,Concettina,Laverne,concettina.laverne@gmail.com,Female,Architectural engineering,Union University
49744763,Calla,Gower,calla.gower@gmail.com,Male,Miscellaneous fine arts,Montana State University
13585785,Amalie,Nester,amalie.nester@gmail.com,Male,Mining and mineral engineering,Gardner-Webb University
95190381,Nanete,Aurelio,nanete.aurelio@gmail.com,Male,Liberal arts,Duke University
23271094,Andree,Zachary,andree.zachary@gmail.com,Female,Cosmetology services and culinary arts,Yale University
3151430,Marti,Saunderson,marti.saunderson@gmail.com,Male,Agricultural economics,The Catholic University of America
78297373,Teriann,Howlyn,teriann.howlyn@gmail.com,Male,Computer science,"Rutgers University, Newark"
3108989,Caressa,Sophronia,caressa.sophronia@gmail.com,Female,Multi-disciplinary or general science,"University of California, Los Angeles"
53068867,Louella,Fredi,louella.fredi@gmail.com,Male,Accounting,University of Cincinnati
99275931,Lelah,Sheng,lelah.sheng@gmail.com,Female,Economics,The Catholic University of America
26512282,Kerrin,Sparhawk,kerrin.sparhawk@gmail.com,Male,"Electrical, mechanical, and precision technologies and production","Stony Brook University, SUNY"
56086684,Kellen,Swanhildas,kellen.swanhildas@gmail.com,Female,Linguistics and comparative language and literature,Rochester Institute of Technology
30006411,Sidoney,Vharat,sidoney.vharat@gmail.com,Female,Health and medical preparatory programs,Mercer University
47490374,Beatriz,Noam,beatriz.noam@gmail.com,Female,School student counseling,Saint Louis University
52413461,Angela,Lumbard,angela.lumbard@gmail.com,Male,Architecture,University of the Pacific
65378352,Elmira,Hull,elmira.hull@gmail.com,Female,Military technologies,Western Michigan University
48406451,Penelopa,Charity,penelopa.charity@gmail.com,Female,Composition and rhetoric,University of Cincinnati
35144738,Donetta,Munn,donetta.munn@gmail.com,Female,Health and medical administrative services,"California State University, Fullerton"
25650556,Kalina,Kazimir,kalina.kazimir@gmail.com,Female,Multi-disciplinary or general science,Mississippi State University
25508923,Giustina,Denis,giustina.denis@gmail.com,Female,Miscellaneous business & medical administration,George Washington University
97692790,Courtnay,McClimans,courtnay.mcclimans@gmail.com,Male,Architectural engineering,Ball State University
8670759,Therine,Virgin,therine.virgin@gmail.com,Male,Community and public health,Duquesne University
26423312,Fanny,Leffen,fanny.leffen@gmail.com,Female,Zoology,New School
85932610,Gale,Berard,gale.berard@gmail.com,Female,Genetics,University of Oregon
61159366,Sara-Ann,Noam,sara-ann.noam@gmail.com,Female,Miscellaneous social sciences,Virginia Commonwealth University
73369642,Meg,Himelman,meg.himelman@gmail.com,Male,Cognitive science and biopsychology,Emory University
17026643,Jany,Kiersten,jany.kiersten@gmail.com,Male,Industrial production technologies,The Catholic University of America
54897912,Nollie,Izaak,nollie.izaak@gmail.com,Female,Genetics,Florida State University
75726228,Ardenia,Loeb,ardenia.loeb@gmail.com,Male,Other foreign languages,Rochester Institute of Technology
1236041,Annabela,Saunderson,annabela.saunderson@gmail.com,Female,Film video and photographic arts,Biola University
34698192,Angelique,Daegal,angelique.daegal@gmail.com,Male,Pre-law and legal studies,Colorado School of Mines
47966199,Chastity,Arquit,chastity.arquit@gmail.com,Male,Communication technologies,George Mason University
31530171,Rivalee,Keily,rivalee.keily@gmail.com,Female,Computer networking and telecommunications,SUNY College of Environmental Science and Forestry
66082818,Sashenka,Koziara,sashenka.koziara@gmail.com,Female,Journalism,Johns Hopkins University
36881139,Valeda,Schenck,valeda.schenck@gmail.com,Male,Pre-law and legal studies,Cornell University
56030234,Xylina,Darian,xylina.darian@gmail.com,Female,Industrial production technologies,Kansas State University
34887570,Jorry,Hutchison,jorry.hutchison@gmail.com,Female,Ecology,Stanford University
24763503,Eadie,Bord,eadie.bord@gmail.com,Female,Atmospheric sciences and meteorology,"University of North Carolina, Chapel Hill"
2657294,Eve,Vilma,eve.vilma@gmail.com,Male,Military technologies,Harvard University
3114072,Orelia,Glenden,orelia.glenden@gmail.com,Male,Science and computer teacher education,"California State University, Fresno"
40009981,Roxane,Felizio,roxane.felizio@gmail.com,Male,Microbiology,Oregon State University
20549244,Miquela,Gusella,miquela.gusella@gmail.com,Female,Social work,University of Maine
21432951,Allyce,Ammann,allyce.ammann@gmail.com,Male,Computer programming and data processing,University of Montana
41697007,Jobi,Ulphia,jobi.ulphia@gmail.com,Male,Statistics and decision science,Adelphi University
56258680,Tori,Croix,tori.croix@gmail.com,Female,Counseling psychology,"Ohio State University, Columbus"
26283233,Adelle,Xerxes,adelle.xerxes@gmail.com,Female,Nuclear engineering,Iowa State University
52939492,Maisey,Annabella,maisey.annabella@gmail.com,Male,Operations logistics and e-commerce,Iowa State University
